1 | Dogi | Neutral / None | Evo-> 2 | PreEvo: 0 | EvoReq: Lv 15 Item: gold Amt: 10000 Cores: 10 | Category: Beast None
2 | Sr. Dogi | Neutral / None | Evo-> 3 | PreEvo: 1 | EvoReq: Lv 25 Item: Dogi Orb #1 Amt: 0 Cores: 25 | Category: Beast None
3 | Armored Dogi | Neutral / None | Evo-> 0 | PreEvo: 2 | EvoReq: Lv 0 Item:  Amt: 0 Cores: 10 | Category: Beast None
4 | Isine | Wind / None | Evo-> 0 | PreEvo: 0 | EvoReq: Lv 20 Item: items/PETAL SHARD Amt: 0 Cores: 10 | Category: Angel Beast
5 | Miki | Neutral / Poison | Evo-> 6 | PreEvo: 0 | EvoReq: Lv 15 Item: gold Amt: 10000 Cores: 10 | Category: None None
6 | Mikia | Neutral / Poison | Evo-> 44 | PreEvo: 5 | EvoReq: Lv 25 Item: Miki Orb #5 Amt: 20000 Cores: 25 | Category: Beast None
7 | Bigiworm | Ground / Poison | Evo-> 8 | PreEvo: 0 | EvoReq: Lv 20 Item: None Amt: 0 Cores: 10 | Category: Beast None
8 | Bigisanda | Ground / Poison | Evo-> 0 | PreEvo: 7 | EvoReq: Lv 20 Item: items/ Amt: 0 Cores: 10 | Category: Beast None
9 | Robomon | Metal / None | Evo-> 0 | PreEvo: 0 | EvoReq: Lv 25 Item: items/ Amt: 0 Cores: 10 | Category: Robot None
10 | Trifish (B) | Water / None | Evo-> 0 | PreEvo: 0 | EvoReq: Lv 25 Item:  Amt: 0 Cores: 10 | Category: Fish None
11 | Trifish (R) | Fire / None | Evo-> 12 | PreEvo: 0 | EvoReq: Lv 15 Item: gold Amt: 20000 Cores: 10 | Category: Fish None
12 | Crabfish | Fire / Neutral | Evo-> 0 | PreEvo: 0 | EvoReq: Lv 35 Item: gold Amt: 100000 Cores: 50 | Category: Fish None
20 | Foorse (O) | Fire / None | Evo-> 21 | PreEvo: 0 | EvoReq: Lv 0 Item:  Amt: 0 Cores: 10 | Category: Beast None
21 | Hellfoorse | Fire / Dark | Evo-> 0 | PreEvo: 0 | EvoReq: Lv 35 Item:  Amt: 0 Cores: 10 | Category: Beast None
22 | Armor | Neutral / None | Evo-> 222 | PreEvo: 0 | EvoReq: Lv 30 Item: Armor Orb #22 Amt: 10000 Cores: 10 | Category: Shadow None
23 | Bulbhead | Light / None | Evo-> 223 | PreEvo: 0 | EvoReq: Lv 20 Item:  Amt: 0 Cores: 10 | Category: Unique None
24 | Traruz | Ground / None | Evo-> 241 | PreEvo: 0 | EvoReq: Lv 40 Item: gold Amt: 100000 Cores: 10 | Category: Dragon None
25 | Chicka | Wind / Neutral | Evo-> 0 | PreEvo: 0 | EvoReq: Lv 35 Item: items/SOUL CORE (Chikin_(Pink) Amt: 0 Cores: 10 | Category: Beast None
26 | Chiki | Wind / Neutral | Evo-> 25 | PreEvo: 0 | EvoReq: Lv 25 Item: items/SOUL CORE (Chikin) Amt: 0 Cores: 10 | Category: Beast None
27 | Dark Masko | Dark / None | Evo-> 28 | PreEvo: 0 | EvoReq: Lv 20 Item: gold Amt: 0 Cores: 10 | Category: Shadow None
28 | King Masko | Dark / None | Evo-> 0 | PreEvo: 0 | EvoReq: Lv 35 Item:  Amt: 0 Cores: 10 | Category: Shadow None
29 | Borgle | Grass / Neutral | Evo-> 30 | PreEvo: 0 | EvoReq: Lv 15 Item: gold Amt: 20000 Cores: 10 | Category: Bug None
